12/04/2019 13:13:02
x,y
36.0,5.380186160021138e-32
36.0625,4.747997621547163e-32
36.125,4.1900931944943974e-32
36.1875,3.6977442656820983e-32
36.25,3.263247861014401e-32
36.3125,2.879806129711015e-32
36.375,2.5414199895141027e-32
36.4375,2.2427952689127702e-32
36.5,1.9792598779469045e-32
36.5625,1.7466907116981076e-32
36.625,1.5414491428468625e-32
36.6875,1.3603240940540357e-32
36.75,1.2004817995138824e-32
36.8125,1.0594214696801825e-32
36.875,9.349361655243808e-33
36.9375,8.250782701895846e-33
37.0,7.281290178321643e-33
37.0625,6.425716029188487e-33
37.125,5.6706744926470255e-33
37.1875,5.004352675326472e-33
37.25,4.416325735416545e-33
37.3125,3.897393782309736e-33
37.375,3.439437941040803e-33
37.4375,3.035293329600447e-33
37.5,2.6786369618080778e-33
37.5625,2.36388882194424e-33
37.625,2.08612456342014e-33
37.6875,1.8409984656239148e-33
37.75,1.6246754435760975e-33
37.8125,1.4337710466611597e-33
37.875,1.265298507693947e-33
37.9375,1.1166220138848189e-33
38.0,9.854154686111257e-34
38.0625,8.696260988082661e-34
38.125,7.674423386050201e-34
38.1875,6.772654867312086e-34
38.25,5.976846942677399e-34
38.3125,5.274548914135014e-34
38.375,4.654773079255091e-34
38.4375,4.107822824676777e-34
38.5,3.6251409191435593e-34
38.5625,3.1991756325768644e-34
38.625,2.823262586573196e-34
38.6875,2.491520487833819e-34
38.75,2.1987591132394053e-34
38.8125,1.9403981069634266e-34
38.875,1.7123953191762365e-34
38.9375,1.5111835651733884e-34
39.0,1.3336148155022614e-34
39.0625,1.1769109439216723e-34
39.125,1.0386202626287883e-34
39.1875,9.165791647315047e-35
39.25,8.088782738491285e-35
39.3125,7.1383257123983e-35
39.375,6.299550330831476e-35
39.4375,5.559333654634541e-35
39.5,4.906094730649281e-35
39.5625,4.329613403584595e-35
39.625,3.820870418052153e-35
39.6875,3.371906309108133e-35
39.75,2.9756968735933825e-35
39.8125,2.626043273976825e-35
39.875,2.3174750553376578e-35
39.9375,2.0451645581525467e-35
40.0,1.8048513878454153e-35
40.0625,1.5927757593990872e-35
40.125,1.4056196741815211e-35
40.1875,1.2404550086771608e-35
40.25,1.0946977029531417e-35
40.3125,9.66067332122619e-36
40.375,8.525514282863749e-36
40.4375,7.523739947567986e-36
40.5,6.639677199580735e-36
40.5625,5.8594945627915584e-36
40.625,5.170985802374829e-36
40.6875,4.563378953904705e-36
40.75,4.027167792140633e-36
40.8125,3.5539631027525527e-36
40.875,3.136361430079066e-36
40.9375,2.7678292474305675e-36
41.0,2.4426007377405277e-36
41.0625,2.1555875853068632e-36
41.125,1.9022993672831142e-36
41.1875,1.678773299415984e-36
41.25,1.4815122368763274e-36
41.3125,1.3074299601845343e-36
41.375,1.1538028902091524e-36
41.4375,1.018227476802731e-36
41.5,8.985825944049381e-37
41.5625,7.929963562787876e-37
41.625,6.998168281769004e-37
41.6875,6.175861832426905e-37
41.75,5.450178937907168e-37
41.8125,4.809766031234875e-37
41.875,4.24460362472138e-37
41.9375,3.745849551515964e-37
42.0,3.3057006267607343e-37
42.0625,2.9172705639883036e-37
42.125,2.574482236720894e-37
42.1875,2.27197259966525e-37
42.25,2.005008781961654e-37
42.3125,1.769414039736072e-37
42.375,1.5615024094567797e-37
42.4375,1.3780210397239907e-37
42.5,1.2160992992528256e-37
42.5625,1.0732038648259155e-37
42.625,9.470990865506873e-38
42.6875,8.358120103216812e-38
42.75,7.376015102518876e-38
42.8125,6.509310481390104e-38
42.875,5.744446337788208e-38
42.9375,5.069456100161516e-38
43.0,4.4737793061811207e-38
43.0625,3.948096380551899e-38
43.125,3.484182826942503e-38
43.1875,3.074780552815198e-38
43.25,2.7134843139867624e-38
43.3125,2.3946415023052036e-38
43.375,2.1132637085848645e-38
43.4375,1.864948677170578e-38
43.5,1.6458114310822737e-38
43.5625,1.4524234901684268e-38
43.625,1.2817592313147442e-38
43.6875,1.1311485514944737e-38
43.75,9.982350930569248e-39
43.8125,8.809393776739815e-39
43.875,7.774262721620897e-39
43.9375,6.860762771709328e-39
44.0,6.054601895401186e-39
44.0625,5.3431674190743673e-39
44.125,4.715328697324056e-39
44.1875,4.161262970056734e-39
44.25,3.672301681915042e-39
44.3125,3.240794859646225e-39
44.375,2.859991425549872e-39
44.4375,2.5239335744662634e-39
44.5,2.2273635617957438e-39
44.5625,1.965641444214536e-39
44.625,1.7346724861112388e-39
44.6875,1.530843095991888e-39
44.75,1.3509642905558535e-39
44.8125,1.192221801917936e-39
44.875,1.0521320473864035e-39
44.9375,9.2850327292849e-40
45.0,8.194012623990515e-40
45.0625,7.231190760410703e-40
45.125,6.381503448060791e-40
45.1875,5.631657026746563e-40
45.25,4.9699198825226136e-40
45.3125,4.385938902419803e-40
45.375,3.870577496310756e-40
45.4375,3.4157726517078807e-40
45.5,3.0144087850653746e-40
45.5625,2.6602064159439866e-40
45.625,2.347623922306236e-40
45.6875,2.071770839868752e-40
45.75,1.8283313490492594e-40
45.8125,1.6134967524342862e-40
45.875,1.4239058863535613e-40
45.9375,1.2565925342789908e-40
46.0,1.1089390193121365e-40
46.0625,9.786352496981592e-41
46.125,8.636425766187275e-41
46.1875,7.621618988062062e-41
46.25,6.726055149644708e-41
46.3125,5.935722836174623e-41
46.375,5.238257017524754e-41
46.4375,4.622745592907616e-41
46.5,4.0795586671775603e-41
46.5625,3.600197887696337e-41
46.625,3.177163484583621e-41
46.6875,2.8038369341499253e-41
46.75,2.474377409739597e-41
46.8125,2.1836303999204887e-41
46.875,1.9270470643193927e-41
